Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,520.099976,526.750000,516.125000,519.625000,502.157501,144452
2019-03-22,518.500000,524.150024,509.024994,513.424988,496.165924,163584
2019-03-25,514.500000,517.474976,505.975006,508.100006,491.019928,117094
2019-03-26,508.500000,520.500000,505.875000,516.900024,499.524200,66474
2019-03-27,517.000000,527.299988,513.900024,521.099976,503.582977,108044
2019-03-28,522.474976,545.000000,522.474976,541.125000,522.934753,250110
2019-04-01,546.500000,558.724976,541.500000,554.674988,536.029297,181440
2019-04-02,555.000000,559.974976,545.900024,550.400024,531.897949,140010
2019-04-03,554.750000,565.750000,546.450012,558.549988,539.774048,264062
2019-04-04,558.549988,559.000000,541.000000,548.825012,530.375916,181062
2019-04-05,545.500000,552.500000,543.500000,546.599976,528.225769,67164
2019-04-08,542.000000,551.250000,541.000000,549.400024,530.931641,46922
2019-04-09,549.349976,564.250000,548.500000,559.275024,540.474731,264272
2019-04-10,558.500000,562.000000,547.500000,549.025024,530.569153,98034
2019-04-11,549.500000,550.325012,542.599976,544.500000,526.196350,31498
2019-04-12,541.500000,550.250000,538.500000,541.500000,523.297302,49610
2019-04-15,541.599976,554.000000,541.599976,551.875000,533.323364,838874
2019-04-16,552.974976,558.200012,550.250000,553.349976,534.748779,131778
2019-04-18,554.650024,561.299988,545.500000,550.174988,531.680603,207154
2019-04-22,554.500000,556.625000,547.575012,550.174988,531.680603,117508
2019-04-23,551.375000,555.500000,548.599976,551.500000,532.961060,54832
2019-04-24,550.500000,572.724976,549.974976,570.250000,551.080872,185994
2019-04-25,570.500000,575.875000,563.700012,565.575012,546.562927,120040
2019-04-26,566.500000,584.000000,566.500000,568.900024,549.776123,139274
2019-04-30,569.000000,595.000000,569.000000,591.674988,571.785461,1023840
2019-05-02,586.250000,589.900024,577.875000,579.950012,560.454651,65750
2019-05-03,575.450012,575.450012,562.750000,571.825012,552.602905,165020
2019-05-06,566.525024,572.000000,564.375000,568.025024,548.930542,64552
2019-05-07,568.025024,574.500000,557.750000,563.375000,544.436951,214006
2019-05-08,563.375000,569.924988,561.775024,566.099976,547.070190,88666
2019-05-09,562.825012,572.099976,555.525024,566.049988,547.021912,258800
2019-05-10,563.349976,563.349976,537.224976,543.025024,524.770996,414552
2019-05-13,542.750000,550.400024,539.325012,541.400024,523.200500,221354
2019-05-14,541.400024,541.400024,528.674988,532.974976,515.058655,63868
2019-05-15,539.900024,543.000000,531.674988,533.974976,516.025146,56288
2019-05-16,534.099976,540.000000,528.375000,536.974976,519.897949,40142
2019-05-17,537.049988,538.500000,529.099976,530.799988,513.919373,53548
2019-05-20,531.000000,541.875000,526.625000,535.400024,518.373047,80072
2019-05-21,536.000000,537.525024,526.025024,528.474976,511.668213,122046
2019-05-22,529.500000,537.450012,527.750000,529.599976,512.757446,56678
2019-05-23,531.000000,536.424988,525.250000,533.299988,516.339844,86300
2019-05-24,534.500000,535.000000,527.450012,530.825012,513.943481,80652
2019-05-27,532.450012,540.400024,529.424988,531.974976,515.056946,109278
2019-05-28,533.000000,544.500000,528.000000,536.224976,519.171753,64474
2019-05-29,536.000000,547.349976,535.000000,542.250000,525.005249,121046
2019-05-30,544.000000,549.075012,534.000000,538.549988,521.422791,208014
2019-05-31,543.674988,549.500000,540.450012,546.750000,529.362061,96066
2019-06-03,549.000000,557.724976,543.950012,555.625000,537.954773,123074
2019-06-04,555.500000,556.775024,539.674988,541.275024,524.061279,112252
2019-06-06,543.000000,550.875000,538.000000,539.525024,522.366821,394242
2019-06-07,543.974976,543.974976,536.299988,539.575012,522.415283,357382
2019-06-10,541.875000,550.875000,540.075012,545.900024,528.539185,158192
2019-06-11,547.325012,558.375000,546.674988,553.724976,536.115295,861800
2019-06-12,554.500000,555.000000,545.799988,553.275024,535.679626,35864
2019-06-13,551.000000,552.799988,546.525024,550.525024,533.017029,42418
2019-06-14,550.025024,551.174988,541.900024,542.700012,525.440796,42422
2019-06-17,543.000000,544.674988,535.000000,536.974976,519.897949,47310
2019-06-18,536.750000,547.000000,536.750000,543.849976,526.554199,33854
2019-06-19,545.000000,547.900024,539.150024,542.599976,525.343933,27988
2019-06-20,539.000000,544.875000,533.299988,543.825012,526.530029,26292
2019-06-21,545.000000,546.424988,535.775024,538.200012,521.083984,63454
2019-06-24,536.650024,541.700012,534.275024,539.275024,522.124817,22030
2019-06-25,542.000000,542.000000,530.474976,539.875000,522.705688,43276
2019-06-26,535.000000,546.200012,535.000000,540.200012,523.020386,71856
2019-06-27,539.000000,541.700012,530.025024,532.000000,515.081055,63672
2019-06-28,535.950012,537.900024,529.450012,532.250000,515.323181,69732
2019-07-01,536.974976,536.974976,523.400024,524.650024,507.964966,70418
2019-07-02,524.650024,532.450012,521.950012,530.125000,513.265686,45904
2019-07-03,534.900024,534.900024,524.174988,526.275024,509.538208,34330
2019-07-04,528.474976,528.474976,517.025024,520.224976,503.680573,130900
2019-07-05,522.500000,524.375000,506.725006,508.299988,492.134857,53174
2019-07-08,508.500000,523.000000,506.075012,519.250000,502.736633,247314
2019-07-09,518.174988,523.950012,504.299988,510.350006,494.119659,91744
2019-07-10,510.000000,517.224976,506.700012,509.450012,493.248322,63846
2019-07-11,516.299988,516.299988,507.625000,510.600006,494.361664,44152
2019-07-12,511.325012,514.599976,504.549988,511.750000,495.475098,48990
2019-07-15,516.000000,518.599976,510.000000,513.650024,497.314728,40752
2019-07-16,510.000000,515.775024,506.750000,510.000000,493.780823,130030
2019-07-17,510.024994,521.625000,510.024994,520.325012,503.777435,56082
2019-07-18,520.500000,520.500000,507.825012,509.149994,492.957825,51336
